time,location,new_id
16:29,dairy,3.4
16:29,drinks,3.0
16:29,fruit,2.4
16:29,spices,1.4
16:30,checkout,1.8
16:30,dairy,3.4
16:30,drinks,2.2
16:30,fruit,2.8
16:30,spices,1.8
16:31,checkout,2.2
16:31,dairy,3.4
16:31,drinks,2.2
16:31,fruit,2.4
16:31,spices,0.8
16:32,checkout,1.6
16:32,dairy,4.4
16:32,drinks,1.6
16:32,fruit,3.0
16:32,spices,1.0
16:33,checkout,1.2
16:33,dairy,3.8
16:33,drinks,2.4
16:33,fruit,4.2
16:33,spices,1.8
16:34,checkout,1.8
16:34,dairy,4.4
16:34,drinks,2.4
16:34,fruit,2.0
16:34,spices,1.8
16:35,checkout,1.2
16:35,dairy,4.8
16:35,drinks,2.2
16:35,fruit,2.2
16:35,spices,2.0
16:36,checkout,1.6
16:36,dairy,5.8
16:36,drinks,2.8
16:36,fruit,3.6
16:36,spices,0.8
16:37,checkout,1.8
16:37,dairy,5.4
16:37,drinks,2.8
16:37,fruit,3.2
16:37,spices,1.0
16:38,checkout,2.2
16:38,dairy,4.6
16:38,drinks,2.2
16:38,fruit,3.4
16:38,spices,1.8
16:39,checkout,1.6
16:39,dairy,4.4
16:39,drinks,2.6
16:39,fruit,3.0
16:39,spices,2.0
16:40,checkout,1.4
16:40,dairy,3.8
16:40,drinks,3.4
16:40,fruit,3.2
16:40,spices,2.4
16:41,checkout,2.2
16:41,dairy,3.6
16:41,drinks,3.2
16:41,fruit,3.2
16:41,spices,2.8
16:42,checkout,1.2
16:42,dairy,4.0
16:42,drinks,2.8
16:42,fruit,4.6
16:42,spices,1.8
16:43,checkout,1.8
16:43,dairy,3.6
16:43,drinks,3.8
16:43,fruit,5.2
16:43,spices,1.8
16:44,checkout,1.6
16:44,dairy,4.2
16:44,drinks,4.0
16:44,fruit,4.0
16:44,spices,1.8
16:45,checkout,1.4
16:45,dairy,4.2
16:45,drinks,3.8
16:45,fruit,4.6
16:45,spices,1.4
16:46,checkout,1.6
16:46,dairy,3.2
16:46,drinks,3.6
16:46,fruit,5.2
16:46,spices,1.8
16:47,checkout,4.2
16:47,dairy,3.8
16:47,drinks,2.4
16:47,fruit,4.2
16:47,spices,1.8
16:48,checkout,1.4
16:48,dairy,5.4
16:48,drinks,2.4
16:48,fruit,3.8
16:48,spices,1.4
16:49,checkout,2.6
16:49,dairy,4.6
16:49,drinks,2.2
16:49,fruit,4.0
16:49,spices,0.8
16:50,checkout,2.4
16:50,dairy,4.6
16:50,drinks,2.2
16:50,fruit,2.8
16:50,spices,1.2
16:51,checkout,2.8
16:51,dairy,3.4
16:51,drinks,1.4
16:51,fruit,4.2
16:51,spices,1.6
16:52,checkout,1.6
16:52,dairy,4.0
16:52,drinks,2.2
16:52,fruit,4.6
16:52,spices,2.0
16:53,checkout,1.4
16:53,dairy,5.6
16:53,drinks,2.2
16:53,fruit,4.2
16:53,spices,2.0
16:54,checkout,2.0
16:54,dairy,6.0
16:54,drinks,2.4
16:54,fruit,3.8
16:54,spices,2.0
16:55,checkout,2.8
16:55,dairy,5.4
16:55,drinks,2.4
16:55,fruit,2.8
16:55,spices,1.8
16:56,checkout,2.4
16:56,dairy,3.8
16:56,drinks,2.6
16:56,fruit,2.6
16:56,spices,2.8
16:57,checkout,1.4
16:57,dairy,3.6
16:57,drinks,2.0
16:57,fruit,3.2
16:57,spices,3.2
16:58,checkout,2.6
16:58,dairy,2.8
16:58,drinks,3.2
16:58,fruit,1.8
16:58,spices,2.2
16:59,checkout,1.8
16:59,dairy,3.2
16:59,drinks,2.4
16:59,fruit,2.2
16:59,spices,2.0
17:00,checkout,1.2
17:00,dairy,5.2
17:00,drinks,2.0
17:00,fruit,3.2
17:00,spices,1.6
17:01,checkout,1.4
17:01,dairy,4.8
17:01,drinks,2.0
17:01,fruit,3.4
17:01,spices,1.6
17:02,checkout,2.4
17:02,dairy,4.8
17:02,drinks,1.8
17:02,fruit,2.6
17:02,spices,1.4
17:03,checkout,1.8
17:03,dairy,4.4
17:03,drinks,2.2
17:03,fruit,2.2
17:03,spices,2.0
17:04,checkout,2.0
17:04,dairy,4.2
17:04,drinks,2.2
17:04,fruit,3.0
17:04,spices,2.2
17:05,checkout,1.0
17:05,dairy,4.8
17:05,drinks,1.4
17:05,fruit,3.8
17:05,spices,1.2
17:06,checkout,1.2
17:06,dairy,5.4
17:06,drinks,2.4
17:06,fruit,3.2
17:06,spices,2.0
17:07,checkout,1.4
17:07,dairy,5.6
17:07,drinks,2.8
17:07,fruit,3.2
17:07,spices,1.4
17:08,checkout,2.2
17:08,dairy,5.0
17:08,drinks,2.6
17:08,fruit,3.4
17:08,spices,1.8
17:09,checkout,2.6
17:09,dairy,5.2
17:09,drinks,2.2
